Id,nom
230,R429 Sérologie de l’hépatite C (ELISA et autres)
231,R434 REALISATION DE LA CHARGE VIRALE DE L'HEPATITE B
232,R435 REALISATION DE LA CHARGE VIRALE DE L'HEPATITE C
233,R420 Sérologie Leishmaniose
234,AUTRES ACTES
235,R421 Dosage du Facteur rhumatoïde
236,"R430 Dosage du Facteur rhumatoïde (methode EIA, ELFA)"
237,R422 Dosages des IgE totales
238,R423 Dosage des IgE spécifiques
239,R424 Homocystéine
240,R425 Ferritine
241,R426 Alpha foetoprotéine
242,R427 Comptage CD4
243,R431 Dosage ACE
244,R432 Dosage de la vitamine B12 et folates
245,CYTOPATHOLOGIE-ANATOMOPATHOLOGIE-BIOLOGIE DE LA REPRODUCTION
246,ANATOMIE ET CYTOLOGIE PATHOLOGIQUE
247,R500 Cytologie pathologique
248,BIOLOGIE DE LA REPRODUCTION ET CYTOGENETIQUE
249,R511 Test de Huhner (test post-coïtal)
250,R512 Spermogramme / Spermocytogramme
251,R513 Frottis vaginal hormonal
252,R514 Frottis cervico-vaginal de dépistage (FCV)
253,R515 Frottis mammaire
254,HEMATOLOGIE
255,R602 Numération blanche (NB)
256,R603 Numeration rouge (NR)
257,R604 Numération des plaquettes
258,R605 Formule leucocytaire
259,R606 Taux d’Hémoglobine
260,R607 Hémogramme(NFS Complète)
261,R608 Réticulocytes
262,R610 Electrophorèse de l’hémoglobine à pH alcalin
263,R611 Vitesse de sédimentation (VS)
264,R600 Myélogramme
265,R601 Adénogramme
266,HEMOSTASE
267,R700 Temps de saignement (TS)
268,R701 Temps de coagulation (TC)
269,R702 Temps de Quick (TQ) ou Taux de prothrombine (TP)
270,R703 Temps de céphaline avec activateur (TCA)
271,R704 TS + TCA
272,R705 Dosage du fibrinogène
273,R706 Temps de thrombine (TT)
274,R707 Héparinémie
275,R710 Antithrombine III
276,BIOCHIMIE TOXICOLOGIE
277,BIOCHIMIE (Sang)
278,Enzymes
279,R876 Transaminases hépatiques ASAT/SGOT et ALAT/SGPT
280,"R877 Bilan hépatique (Transaminases, GGT, PAL)"
281,R800 Amylase
282,R801 Aspartate aminotransférase (ASAT) SGOT
283,R802 Alanine aminotransférase (ALAT) SGPT
284,R803 Glucose-6-Phosphate déshydrogénase (G6PD)
285,R804 Gamma Glutamyl transférase (GGT)
286,R805 Créatine phosphokinase (CK)
287,R806 Créatine Kinase CK-MB
288,R807 Lactate Déshydrogénase LDH
289,R863 Lactate Déshydrogénase HBDH
290,R808 Pyruvate kinase (PK)
291,R809 Phosphatases alcalines(PAL)
292,R886 Clairence de la Créatinine
293,R888 Cortisolémie 100
294,R889 Capacité totale de fixation de la sidérophiline + Coefficient de saturation
295,R890 Fructosamine
296,R891 Glycémie post-prandiale
297,R892 Glycémie provoquée (HGPO)
298,R893 Lipase (Lipasémie)
299,R896 NT pro BNP
